geslacht,v1q1_v1col1,v1q1a_v1col1,v1q1b_v1col1,v1q1c_v1col1,v1q5_v1col1,v1q5a_v1col1,nohouse_encr,nomem_encr
Man,0.0,,0.0,0.0,0.0,0.0,1049420,1687033
Vrouw,3.0,,0.0,0.0,0.0,0.0,1049420,1662353
Man,47.0,,4.0,0.0,4.0,0.0,1011033,1631191
Vrouw,8.0,,0.0,8.0,0.0,0.0,1011033,1687630
Man,36.0,,0.0,0.0,0.0,0.0,1047651,1746405
Vrouw,0.0,,0.0,0.0,0.0,0.0,1047651,1712561
Vrouw,0.0,,1.0,17.0,20.0,20.0,1059082,1703625
Man,0.0,,0.0,0.0,5.0,5.0,1059082,1755058
Man,40.0,,50.0,50.0,10.0,0.0,1032311,1705264
Man,0.0,,0.0,38.0,0.0,0.0,1050449,1738962
Man,0.0,0.0,,,,,1105688,1649819
Man,,,,,,,1032991,1660073
Vrouw,0.0,,0.0,0.0,0.0,0.0,1032991,1679690
Vrouw,32.0,0.0,,,,,1029103,1663805
Man,28.0,0.0,,,,,1029103,1663791
Vrouw,0.0,,0.0,0.0,0.0,0.0,1073720,1650880
Man,0.0,,0.0,0.0,0.0,0.0,1073720,1700254
Man,0.0,,0.0,0.0,0.0,0.0,1027909,1649615
Man,0.0,,20.0,0.0,20.0,10.0,1088259,1702907
Vrouw,0.0,,0.0,0.0,15.0,15.0,1088259,1693606
Man,0.0,45.0,,,,,1115114,1701184
Man,0.0,43.0,,,,,1061790,1608167
Vrouw,8.0,8.0,,,,,1061790,1774806
Vrouw,0.0,,0.0,0.0,28.0,25.0,1069277,1650759
Man,0.0,8.0,,,,,1043103,1689329
Vrouw,0.0,0.0,,,,,1043103,1727676
Man,0.0,,36.0,0.0,20.0,5.0,1089701,1693524
Vrouw,62.0,,0.0,0.0,0.0,2.0,1038786,1612215
Man,25.0,,25.0,6.0,20.0,0.0,1038786,1686071
Vrouw,0.0,0.0,,,,,1081268,1667516
Man,0.0,0.0,,,,,1081268,1730895
Man,0.0,20.0,,,,,1102887,1686740
Vrouw,0.0,32.0,,,,,1102887,1735915
Man,0.0,0.0,,,,,1076278,1752932
Vrouw,0.0,0.0,,,,,1076278,1715782
Man,22.0,,0.0,0.0,8.0,4.0,1086677,1738878
Vrouw,0.0,0.0,,,,,1125056,1724044
Man,0.0,0.0,,,,,1125056,1787083
Vrouw,,,,,,,1070919,1690252
Vrouw,0.0,0.0,,,,,1040627,1714106
Vrouw,25.0,0.0,,,,,1068935,1771488
Man,0.0,0.0,,,,,1068935,1772782
Man,0.0,0.0,,,,,1133562,1647773
Man,0.0,0.0,,,,,1127321,1710129
Vrouw,0.0,0.0,,,,,1098168,1610801
Man,0.0,0.0,,,,,1098168,1689343
Vrouw,24.0,,0.0,0.0,0.0,0.0,1084395,1637845
Man,40.0,,0.0,0.0,10.0,0.0,1112539,1691231
Vrouw,37.0,,0.0,0.0,80.0,0.0,1112539,1654971
Man,0.0,0.0,,,,,1114848,1708774
Vrouw,0.0,0.0,,,,,1114848,1724994
Man,0.0,0.0,,,,,1128343,1733194
Vrouw,0.0,0.0,,,,,1128343,1767479
Man,16.0,0.0,,,,,1110506,1653522
Vrouw,0.0,0.0,,,,,1110506,1673458
Vrouw,0.0,0.0,,,,,1094544,1673440
Man,0.0,0.0,,,,,1094544,1781144
Vrouw,32.0,0.0,,,,,1065386,1688515
Man,0.0,40.0,,,,,1065386,1705691
Vrouw,0.0,0.0,,,,,1125793,1683290
Man,0.0,0.0,,,,,1125793,1706378
Man,0.0,,0.0,0.0,0.0,0.0,1074381,1682726
Vrouw,0.0,,0.0,0.0,0.0,0.0,1074381,1647763
Man,0.0,,5.0,0.0,12.0,8.0,1083141,1651039
Vrouw,0.0,,0.0,0.0,7.0,5.0,1083141,1703938
Man,0.0,0.0,,,,,1132449,1694716
Man,0.0,0.0,,,,,1096678,1668844
Vrouw,0.0,0.0,,,,,1074055,1696604
Man,0.0,0.0,,,,,1074055,1767681
Man,0.0,0.0,,,,,1108574,1778851
Man,0.0,0.0,,,,,1118280,1691149
Vrouw,0.0,0.0,,,,,1118280,1730700
Vrouw,7.0,,0.0,1.0,3.0,0.0,1089936,1611957
Man,0.0,,0.0,40.0,0.0,0.0,1089936,1700136
Man,0.0,,0.0,18.0,0.0,0.0,1081382,1731930
Vrouw,0.0,,0.0,0.0,4.0,0.0,1081382,1748601
Vrouw,0.0,,0.0,0.0,0.0,2.0,1071717,1704602
Man,0.0,,44.0,0.0,0.0,0.0,1071717,1669121
Man,0.0,17.0,,,,,1077532,1654486
Vrouw,0.0,17.0,,,,,1077532,1710003
Vrouw,0.0,0.0,,,,,1143095,1709681
Man,0.0,0.0,,,,,1143095,1731895
Vrouw,0.0,0.0,,,,,1139820,1696386
Vrouw,0.0,0.0,,,,,1087098,1689467
Vrouw,10.0,0.0,,,,,1164056,1692111
Man,40.0,0.0,,,,,1123905,1684283
Vrouw,0.0,0.0,,,,,1123905,1715447
Vrouw,0.0,32.0,,,,,1173782,1731612
Man,40.0,0.0,,,,,1173782,1715265
Vrouw,0.0,0.0,,,,,1119306,1636848
Man,0.0,0.0,,,,,1119306,1744051
Man,0.0,,0.0,40.0,0.0,0.0,1096458,1626957
Vrouw,0.0,,0.0,0.0,0.0,0.0,1096458,1711263
Vrouw,0.0,32.0,,,,,1142793,1674579
Man,24.0,,16.0,0.0,3.0,1.0,1142793,1760207
Man,0.0,40.0,,,,,1106411,1775256
Vrouw,,,,,,,1098029,1645083
Man,,,,,,,1098029,1716860
Vrouw,0.0,0.0,,,,,1132053,1663869
Man,0.0,0.0,,,,,1101643,1685260
Vrouw,0.0,0.0,,,,,1156059,1658569
Man,0.0,0.0,,,,,1156059,1696174
Vrouw,16.0,,0.0,0.0,15.0,20.0,1144468,1678816
Man,0.0,,8.0,24.0,10.0,10.0,1144468,1668177
Man,0.0,0.0,,,,,1159704,1655142
Vrouw,0.0,0.0,,,,,1159704,1743847
